time,time,temperature
1,0,3.096774193548387
1,1,3.0645161290322585
1,2,2.9870967741935486
1,3,2.9967741935483874
1,4,3.0225806451612898
1,5,3.051612903225806
1,6,3.07741935483871
1,7,3.0935483870967744
1,8,3.306451612903226
1,9,3.851612903225806
1,10,4.6580645161290315
1,11,5.348387096774195
1,12,5.761290322580644
1,13,6.064516129032258
1,14,6.029032258064516
1,15,5.635483870967741
1,16,4.8193548387096765
1,17,4.325806451612903
1,18,4.006451612903226
1,19,3.819354838709677
1,20,3.541935483870968
1,21,3.4354838709677415
1,22,3.3806451612903223
1,23,3.348387096774193
2,0,-2.489285714285714
2,1,-2.6607142857142856
2,2,-2.878571428571429
2,3,-3.067857142857143
2,4,-3.2214285714285715
2,5,-3.3464285714285715
2,6,-3.4714285714285715
2,7,-3.4178571428571423
2,8,-2.8857142857142857
2,9,-2.5035714285714286
2,10,-1.817857142857143
2,11,-1.2607142857142857
2,12,-0.7964285714285714
2,13,-0.49285714285714294
2,14,-0.3642857142857144
2,15,-0.47857142857142865
2,16,-0.8321428571428572
2,17,-1.6142857142857143
2,18,-1.9857142857142858
2,19,-2.214285714285714
2,20,-2.4071428571428575
2,21,-2.5071428571428567
2,22,-2.8928571428571423
2,23,-2.9642857142857144
3,0,1.3903225806451611
3,1,1.2580645161290325
3,2,1.0
3,3,0.7838709677419357
3,4,0.5225806451612902
3,5,0.36129032258064503
3,6,0.37096774193548393
3,7,0.9580645161290325
3,8,1.8677419354838711
3,9,3.064516129032258
3,10,4.358064516129033
3,11,5.296774193548388
3,12,5.961290322580646
3,13,6.435483870967742
3,14,6.770967741935485
3,15,6.8903225806451625
3,16,6.500000000000002
3,17,5.641935483870966
3,18,4.364516129032258
3,19,3.612903225806451
3,20,2.990322580645161
3,21,2.661290322580645
3,22,2.3225806451612905
3,23,2.02258064516129
4,0,9.77
4,1,9.143333333333333
4,2,8.753333333333334
4,3,8.440000000000001
4,4,8.043333333333331
4,5,8.02
4,6,9.256666666666666
4,7,11.163333333333332
4,8,12.969999999999999
4,9,14.733333333333333
4,10,16.29
4,11,17.419999999999998
4,12,18.329999999999995
4,13,18.913333333333338
4,14,19.220000000000002
4,15,19.186666666666667
4,16,18.676666666666662
4,17,17.57
4,18,15.62
4,19,13.98333333333333
4,20,12.70666666666667
4,21,11.976666666666667
4,22,11.176666666666668
4,23,10.653333333333332
5,0,13.316129032258067
5,1,12.780645161290325
5,2,12.316129032258065
5,3,11.958064516129033
5,4,11.80967741935484
5,5,12.461290322580645
5,6,13.658064516129032
5,7,15.00322580645161
5,8,16.283870967741933
5,9,17.622580645161293
5,10,18.98709677419355
5,11,19.854838709677423
5,12,20.658064516129027
5,13,21.138709677419357
5,14,21.25483870967742
5,15,21.061290322580643
5,16,20.65161290322581
5,17,19.919354838709676
5,18,18.764516129032263
5,19,17.08709677419355
5,20,15.964516129032258
5,21,15.270967741935483
5,22,14.516129032258059
5,23,14.0
6,0,15.080000000000002
6,1,14.633333333333335
6,2,14.129999999999999
6,3,13.873333333333333
6,4,13.760000000000002
6,5,14.8
6,6,16.110000000000003
6,7,17.54
6,8,18.8
6,9,19.839999999999996
6,10,20.83666666666667
6,11,21.58
6,12,22.18666666666667
6,13,22.546666666666667
6,14,22.803333333333335
6,15,22.766666666666666
6,16,22.413333333333334
6,17,21.610000000000003
6,18,20.636666666666667
6,19,19.21
6,20,17.68
6,21,16.736666666666668
6,22,15.950000000000001
6,23,15.453333333333331
7,0,15.94516129032258
7,1,15.36774193548387
7,2,14.97741935483871
7,3,14.858064516129032
7,4,14.603225806451615
7,5,15.522580645161291
7,6,17.096774193548388
7,7,18.790322580645164
7,8,20.503225806451614
7,9,21.929032258064517
7,10,23.058064516129026
7,11,23.748387096774195
7,12,24.161290322580648
7,13,24.47741935483872
7,14,24.651612903225807
7,15,24.819354838709685
7,16,24.53548387096774
7,17,24.016129032258064
7,18,22.916129032258063
7,19,21.0258064516129
7,20,19.17096774193548
7,21,18.12903225806452
7,22,17.216129032258063
7,23,16.55483870967742
8,0,17.42258064516129
8,1,16.735483870967737
8,2,16.306451612903224
8,3,15.938709677419354
8,4,15.654838709677417
8,5,15.996774193548385
8,6,17.519354838709678
8,7,19.24838709677419
8,8,20.99354838709677
8,9,22.516129032258064
8,10,23.825806451612902
8,11,24.699999999999996
8,12,25.364516129032257
8,13,26.01290322580645
8,14,26.306451612903224
8,15,26.348387096774196
8,16,25.812903225806462
8,17,24.703225806451616
8,18,22.999999999999996
8,19,21.07741935483871
8,20,19.74516129032258
8,21,18.945161290322584
8,22,18.14193548387097
8,23,17.703225806451616
9,0,12.3
9,1,11.93
9,2,11.566666666666666
9,3,11.313333333333336
9,4,11.096666666666668
9,5,10.843333333333332
9,6,11.47333333333333
9,7,13.076666666666664
9,8,14.793333333333335
9,9,16.543333333333333
9,10,18.073333333333334
9,11,19.233333333333338
9,12,20.103333333333335
9,13,20.73333333333334
9,14,21.07
9,15,21.05
9,16,20.37333333333334
9,17,18.653333333333332
9,18,16.64666666666667
9,19,15.373333333333333
9,20,14.46
9,21,13.710000000000004
9,22,13.28666666666667
9,23,12.7
10,0,8.387096774193548
10,1,8.112903225806452
10,2,7.903225806451614
10,3,7.738709677419356
10,4,7.564516129032257
10,5,7.341935483870968
10,6,7.261290322580646
10,7,8.193548387096774
10,8,9.712903225806452
10,9,11.3
10,10,12.883870967741933
10,11,14.029032258064516
10,12,14.909677419354841
10,13,15.477419354838709
10,14,15.651612903225804
10,15,15.319354838709678
10,16,14.0
10,17,12.122580645161285
10,18,10.983870967741934
10,19,10.116129032258062
10,20,9.54516129032258
10,21,9.203225806451613
10,22,8.858064516129033
10,23,8.529032258064516
11,0,3.603333333333332
11,1,3.566666666666666
11,2,3.366666666666667
11,3,3.2266666666666666
11,4,3.113333333333333
11,5,3.0633333333333335
11,6,2.8866666666666676
11,7,3.0133333333333336
11,8,3.660000000000001
11,9,4.543333333333333
11,10,5.469999999999998
11,11,6.306666666666666
11,12,6.989999999999998
11,13,7.3966666666666665
11,14,7.503333333333334
11,15,7.036666666666664
11,16,5.8566666666666665
11,17,5.166666666666667
11,18,4.859999999999999
11,19,4.506666666666667
11,20,4.239999999999999
11,21,4.043333333333333
11,22,3.7766666666666664
11,23,3.5900000000000003
12,0,2.961290322580646
12,1,3.0166666666666666
12,2,2.83
12,3,2.7166666666666663
12,4,2.6333333333333333
12,5,2.6699999999999995
12,6,2.55
12,7,2.4366666666666665
12,8,2.6099999999999994
12,9,3.1066666666666665
12,10,3.4633333333333325
12,11,3.7866666666666675
12,12,4.123333333333332
12,13,4.286666666666665
12,14,4.2
12,15,3.8866666666666663
12,16,3.406666666666666
12,17,3.273333333333333
12,18,3.1899999999999995
12,19,3.230000000000001
12,20,3.206666666666666
12,21,3.1566666666666667
12,22,2.9733333333333336
12,23,3.01
